['434659448-1', 7, ['考试', '加油', '好听', '评论', '开口', '决定', '听歌', '音乐', '喜欢', '小时']]
['437827934-0', 7, ['前排', '好听', '小混混', '厉害', '喜欢', '歌词', '翻译', '节奏', '留名', '不错']]
['438326561-0', 7, ['不错', '好听', '私信', '喜欢', '南下', '等到', '声音', '前排', '新歌', '评论']]
['440208470-1', 7, ['声音', '喜欢', '好听', '原唱', '歌曲', '宝藏', '闽南语', '发现', '好好', '四川话']]
['440464173-0', 7, ['好听', '加油', '不错', '孟佳', '喜欢', 'mv', 'jia', '厉害', '支持', '歌词']]
['441618579-0', 7, ['好听', '开口', '喜欢', '声音', '加油', '评论', '好好', '舒服', '温柔', '心情']]
['441618579-1', 7, ['喜欢', '好听', '开口', '加油', '声音', '谢谢', '努力', '治愈', '不错', '听到']]
['442869562-0', 7, ['好听', '喜欢', '日推', '声音', '温暖', '加油', '大鱼', '不错', '评论', '好好']]
['443876166-0', 7, ['好听', '宫阁', '喜欢', '声音', '音乐', '不错', '歌词', '温柔', '期待', '风格']]
['443967379-0', 7, ['漏漏', '表白', '好听', '私信', '漏儿', '歌词', '前排', '喜欢', '好好', '声音']]
['446177457-0', 7, ['好听', '加油', '喜欢', '支持', '努力', '超级', '男神', '精神', '声音', '歌词']]
['448460145-0', 7, ['勇气', '好听', '喜欢', '私信', '晚安', '声音', '加油', '听到', '评论', '收到']]
['453938724-0', 7, ['五哥', '前排', '私信', '歌词', '好听', '评论', '收到', '表白', '声音', '喜欢']]
['454698378-0', 7, ['好听', '喜欢', '小秘书', '声音', '前排', '歌词', 'alina-baraz', '开口', '不错', 'alina']]
['455552476-0', 7, ['好听', '喜欢', '日推', '开口', '评论', '牛奶', '打卡', '声音', '加油', '开头']]
['459842989-0', 7, ['好听', '歌词', '喜欢', '声音', '哈哈哈哈', '纸巾', '不错', '可爱', '打电话', '没错']]
['460043701-0', 7, ['黄老板', '好听', '喜欢', '专辑', '前排', '留名', '等到', '评论', '表白', 'ed-sheeran']]
['469744085-0', 7, ['猴西', '好听', 'halsey', '前排', '喜欢', '声音', '女神', '评论', '等到', '表白']]
['471754946-0', 7, ['喜欢', '开口', '声音', '好听', '好好', '加油', '评论', '黑暗', '日推', '快乐']]
['472219517-0', 7, ['女王', '苹果', '好听', '前排', '私信', '表白', '评论', '打卡', '留名', '喜欢']]
['473552461-0', 7, ['喜欢', '音乐', '好听', '修炼', '评论', '牛逼', '前排', '中国', 'call', '解答']]
['474764813-0', 7, ['圆哥', '音乐', '徐梦圆', '好听', '前排', '喜欢', '电音', '评论', '加油', '支持']]
['474791825-0', 7, ['好听', '评论', '发现', '喜欢', '开口', '前排', '热评', '网易云', '好好', '谢谢']]
['475597470-0', 7, ['日推', '好听', '音乐', '喜欢', '女人', '火钳刘明', '打卡', '评论', '女声', '不错']]
['483981306-0', 7, ['好听', '喜欢', '日推', '开口', '评论', '声音', '前奏', '牛奶', '厉害', '好好']]
['484355767-0', 7, ['喜欢', '好听', '单曲循环', '支持', '评论', '音乐', 'athree', '傻子', '歌词', '世界']]
['484365106-0', 7, ['mitis', '前排', '好听', 'ftre-bass', '喜欢', '大佬', '留名', '评论', '音乐', '歌词']]
['485305317-0', 7, ['喜欢', '民谣', '好听', '加油', '评论', '声音', '身边', '间奏', '单曲循环', '听到']]
['486999661-0', 7, ['日推', '莫妮卡', '好听', '喜欢', '黑色', '声音', '开口', '听到', '第二', '好好']]
['487088609-0', 7, ['好听', '喜欢', '日推', '加油', '评论', '好好', '不知不觉', '打卡', '后知后觉', '单曲循环']]
['487543651-0', 7, ['少恭', '老恭', '好听', '前排', '表白', '喜欢', '声音', 'call', '开口', '卧槽']]
['487608625-0', 7, ['chace', '好听', '前排', '支持', '喜欢', '歌词', '加油', '老公', '期待', '来晚']]
['489998999-0', 7, ['好听', '喜欢', '前排', '歌词', '期待', '不错', 'ftp', '留名', '回归', '新专']]
['492146902-0', 7, ['好听', '喜欢', '前排', '高考', '不错', '私信', 'xc', '厉害', '加油', '评论']]
['492299696-0', 7, ['好听', '喜欢', '胖胖', '歌词', '支持', '加油', '声音', '版本', '原唱', '好好']]
['493277008-0', 7, ['好听', '前排', 'conor', '歌词', '声音', '评论', '开口', '喜欢', '康康', '康纳']]
['496298886-0', 7, ['喜欢', '好听', 'flerie', '歌词', '声音', '女声', '前排', '歌手', '开口', '评论']]
['500412111-0', 7, ['喜欢', '声音', '好听', '追光', '单曲循环', '那首', '歌词', '故事', '评论', '听到']]
['500412390-0', 7, ['好听', '喜欢', '翻译', '评论', '开口', '十月', '积分', '声音', '好好', '加油']]
['501427116-0', 7, ['好听', '前排', '锦零', '零零', '喜欢', '表白', '声音', '好好', '评论', '助攻']]
['502789965-0', 7, ['喜欢', '好听', '加油', '评论', '声音', '打卡', '回忆', '支持', '歌单', '故事']]
['504544453-0', 7, ['好听', '前排', '喜欢', '棉花糖', '加油', '睡觉', '支持', '音乐', '女装', '不错']]
['504717970-0', 7, ['前排', '好听', 'the-score', '喜欢', '歌词', '小秘书', '加油', '新歌', '留名', '评论']]
['507109505-0', 7, ['喜欢', '好听', '加油', '听到', '前排', '单曲循环', '世界', '前奏', '要饭', '声音']]
['508483573-0', 7, ['好听', '喜欢', '加油', '评论', '不错', '旋律', '留名', '赞赞', '助攻', '生活']]
['508917233-0', 7, ['好听', '前排', '喜欢', '歌词', '女声', '音乐', '回归', '留名', '声音', '回来']]
['509633388-0', 7, ['sia', '前排', '洗牙', '表白', '喜欢', '歌词', '好听', 'brooks', 'call', '留名']]
['512358265-0', 7, ['好听', '喜欢', '评论', '留名', '开口', '前排', '翻译', '声音', '封面', '坐等']]
['512359194-0', 7, ['八爷', 'call', '前排', '好听', '歌词', '疯狂', '助攻', '喜欢', '表白', '呜呜']]
['512365425-0', 7, ['好听', '前排', '喜欢', '凯瑟', 'call', '瑟瑟', '疯狂', '声音', '打电话', '打卡']]
['515143305-1', 7, ['喜欢', '声音', '好听', '本兮', '加油', '想起', '非主流', '评论', '听到', '谢谢']]
['515945562-0', 7, ['喜欢', '好听', 'call', '声音', '开口', '循环', '幸福', '分手', '牛逼', '单曲循环']]
['516654052-1', 7, ['好听', '抖音', '喜欢', '加油', '评论', '日推', '好好', '后知后觉', '单曲循环', '不错']]
['517401143-0', 7, ['音乐', '喜欢', '某音', '听歌', '留名', '作业', '好听', '火钳刘明', '平台', '评论']]
['517489727-0', 7, ['喜欢', '好听', '冰块', '声音', '草莓', 'call', '评论', '打卡', '牛逼', '可爱']]
['517565087-0', 7, ['好听', '喜欢', '前排', 'call', '晚安', '天府', 'chloe', '打电话', '疯狂', '声音']]
['517892019-0', 7, ['好听', '封面', '喜欢', '声音', '前排', '评论', '歌词', '开口', '熟悉', '出新']]
['517912859-0', 7, ['西奥', 'sio', '牛逼', '歌词', '滚动', '喜欢', '好听', '厉害', '打卡', '声音']]
['518194538-1', 7, ['好听', '喜欢', '加油', '好好', '评论', '歌词', '耳朵', '带感', '抖音', '井盖']]
['518194538-2', 7, ['好听', '喜欢', '抖音', '日推', '加油', '好好', '不错', '留名', '单曲循环', '风格']]
['518194538-3', 7, ['喜欢', '好听', '评论', '日推', '音乐', '舒服', '听到', '声音', '发现', '心情']]
['518286861-0', 7, ['喜欢', '好听', '加油', '前奏', '歌曲', '单曲循环', '评论', '老哥', '看着', '声音']]
['519088211-0', 7, ['好听', '喜欢', '音乐', '修炼', '牛逼', '中国', '厉害', '歌声', '评论', 'call']]
['519207019-0', 7, ['好听', '喜欢', '日推', '开口', '评论', '打卡', '声音', '加油', '牛奶', '前奏']]
['520458306-0', 7, ['喜欢', '晚安', '好听', '故事', '声音', '生活', '听到', '错过', '孤独', '爱情']]
['521169592-0', 7, ['加油', '喜欢', '晚安', '努力', '生活', '好好', '孤独', '安静', '好听', '听到']]
['521733922-0', 7, ['喜欢', '好听', '日推', '开头', '评论', '前奏', '打卡', '开口', '留名', '牛逼']]
['522510699-0', 7, ['卡妹', '好听', '前排', '喜欢', 'call', '封面', '疯狂', '评论', '歌词', '表白']]
['523251301-0', 7, ['好听', '喜欢', '不错', '江燕', '声音', '加油', '单曲循环', '支持', '江小', '南方']]
['523251302-0', 7, ['好听', '喜欢', '不错', '江燕', '声音', '加油', '单曲循环', '支持', '江小', '棒棒']]
